"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","character_maximum_length","character_octet_length","numeric_precision","numeric_precision_radix","numeric_scale","datetime_precision","interval_type","interval_precision","character_set_catalog","character_set_schema","character_set_name","collation_catalog","collation_schema","collation_name","domain_catalog","domain_schema","domain_name","udt_catalog","udt_schema","udt_name","scope_catalog","scope_schema","scope_name","maximum_cardinality","dtd_identifier","is_self_referencing","is_identity","identity_generation","identity_start","identity_increment","identity_maximum","identity_minimum","identity_cycle","is_generated","generation_expression","is_updatable"
"haystack3_production","public","cw_products","orig_image_misc_url",20,"","YES","character varying",700,2800,"","","","","","","","","","","","","","","","haystack3_production","pg_catalog","varchar","","","","","20","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","s3_image_misc_url",21,"","YES","character varying",200,800,"","","","","","","","","","","","","","","","haystack3_production","pg_catalog","varchar","","","","","21","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","brand",22,"''::character varying","YES","character varying","",1073741824,"","","","","","","","","","","","","","","","haystack3_production","pg_catalog","varchar","","","","","22","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","external_product_id",23,"","YES","bigint","","",64,2,0,"","","","","","","","","","","","","haystack3_production","pg_catalog","int8","","","","","23","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","grocery_attrs",24,"","YES","character varying",100,400,"","","","","","","","","","","","","","","","haystack3_production","pg_catalog","varchar","","","","","24","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","store_appearance",25,"","YES","ARRAY","","","","","","","","","","","","","","","","","","haystack3_production","pg_catalog","_int4","","","","","25","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","price",26,"","YES","character varying",70,280,"","","","","","","","","","","","","","","","haystack3_production","pg_catalog","varchar","","","","","26","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","price_unit",27,"","YES","character varying",50,200,"","","","","","","","","","","","","","","","haystack3_production","pg_catalog","varchar","","","","","27","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","category_path",28,"","YES","character varying","",1073741824,"","","","","","","","","","","","","","","","haystack3_production","pg_catalog","varchar","","","","","28","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","gender",29,"","YES","character varying",50,200,"","","","","","","","","","","","","","","","haystack3_production","pg_catalog","varchar","","","","","29","NO","NO","","","","","","","NEVER","","YES"
"haystack3_production","public","cw_products","unique_attrs",14,"","YES","USER-DEFINED","","","","","","","","","","","","","","","","","","haystack3_production","public","hstore","","","","","14","NO","NO","","","","","","","NEVER","","YES"
